"pathway","IN_BT_H","IN_AT_H","IN_BT_I","IN_AT_I","IN_BT_J","IN_AT_J","IN_BT_K","IN_AT_K","IN_BT_L","IN_AT_L"
"Androgen",0.412695998777506,0.95209189508506,0.334897552113239,1.3663010762022,0.658936235170074,0.477324955329014,-1.49829469545439,-0.505036962733686,-1.52646313503882,-0.672452919450185
"EGFR",-1.38374710821357,0.0906256786288668,-0.608032301289614,0.477048556797379,1.19527075465758,1.83449653172865,-1.1734255226334,0.110198567962108,-0.544634374568855,0.00219921693086104
"Estrogen",-1.62929974141133,0.485191078300567,0.179542831567532,1.51969863221423,0.354352347466791,0.534656496814361,-0.856494014512052,0.674559893727313,-1.45924393414384,0.19703640997643
"Hypoxia",-0.697514260551239,1.06169390457903,-0.903520333835156,0.323225323111072,0.69063945432303,1.63699372976412,-1.20688595288598,0.154172109040134,-1.3255958417231,0.266791868178083
"JAK-STAT",-1.02039978902536,0.274669079072932,-0.575716115789165,-1.17519701102462,-0.63516910335201,-0.789766969210301,0.772440643813442,0.339249569509055,0.91293997970302,1.89694971630296
"MAPK",-1.26272673576198,0.0796456510208857,-0.6605588720828,0.530154073700641,1.22894791691712,1.74390993564864,-1.37027258609038,-0.11857079890644,-0.419924983047937,0.249396398602237
"NFkB",-1.6414991015514,0.447597234169904,-0.984023348242923,0.172830593521166,1.13453092020197,1.61858474086663,-0.759854072842319,0.139923413571778,-0.609401831412733,0.481311451717948
"p53",-2.05178255759798,0.683230783295848,-0.516342737663391,0.818049444766805,1.03739924089587,0.388945815549819,-1.16331141499417,-0.125255828879457,0.0405478780871065,0.888519376539541
"PI3K",-1.19458619992786,-0.26491241400814,-0.828521165848083,0.175662429897765,1.13458806901104,2.04493781361705,-1.01712404841501,0.12301155505655,-0.441332540154861,0.268276500771586
"TGFb",-1.81750410033544,0.905965425344308,-0.600818936972105,1.2787433901983,1.29736561195046,0.221043222093588,-0.590343857747524,0.0904845359992795,-0.8838762209149,0.0989409303840856
"TNFa",-1.58801165246256,0.462924658710748,-0.867234727170565,0.316501121907595,1.16667377683252,1.60531971430056,-0.88895587660205,0.142866009645882,-0.723466221925839,0.37338319676371
"Trail",-0.321316181213431,0.495524510852094,-0.283819646896985,0.494167823263248,0.295530778132652,-2.60651200931834,-0.115036547686059,0.530585308808345,0.688038504413464,0.822837459645007
"VEGF",-0.582222132639769,-0.276113000867951,-0.789770532042252,-0.340690267954121,0.954062250238747,2.38302669898544,-1.05898439820128,-0.0329889591679011,-0.352363431909457,0.0960437735585498
"WNT",0.0133745725220644,-0.271499222886415,-0.945102285995247,-1.1356752289847,0.613765404508334,1.74997316169114,0.909750169233811,-1.51665561391873,0.233039306147132,0.34902973768261
